,İtalya / Roma,Almanya / Berlin,İngiltere / Londra,Fransa / Paris,Hollanda / Amsterdam,İsviçre / Bern,Yunanistan / Atina,Belçika / Brüksel,Norveç / Oslo,İrlanda / Dublin,Danimarka / Kopenhag,Çekya / Prag,Macaristan / Budapeşte,Slovenya / Ljubljana,Monako / Monako,Estonya / Tallinn,Moldova / Kişinev,Portekiz / Lizbon,Finlandiya /Helsinki,Romanya / Bükreş
İtalya / Roma,0,1507,1836,1426,1655,857,1359,1478,2475,2400,1901,1303,1221,759,685,2790,2313,2517,2877,1911
Almanya / Berlin,1507,0,1100,1052,658,968,2332,770,989,1665,434,346,870,995,1332,1415,1515,2786,1503,1685
İngiltere / Londra,1836,1100,0,459,536,1017,3139,369,1727,554,1249,1272,1725,1551,1418,2480,2562,2187,2565,2540
Fransa / Paris,1426,1052,459,0,503,567,2899,308,1701,1023,1222,1029,1485,1249,954,2432,2450,1738,2519,2302
Hollanda / Amsterdam,1655,658,536,503,0,841,2811,205,1267,1100,789,878,1397,1235,1374,2038,2161,2236,2125,2214
İsviçre / Bern,857,968,1017,567,841,0,2385,666,1722,1582,1237,812,1095,769,538,2348,2171,2013,2435,1911
Yunanistan / Atina,1359,2332,3139,2899,2811,2385,0,2770,3364,3704,2765,1989,1471,1621,2402,3339,1593,4233,3426,1152
Belçika / Brüksel,1478,770,369,308,205,666,2770,0,1402,933,922,902,1356,1194,1198,2150,2211,2040,2237,2173
Norveç / Oslo,2475,989,1727,1701,1267,1722,3364,1402,0,2292,560,1381,1907,1943,2218,942,2547,3435,1030,2723
İrlanda / Dublin,2400,1665,554,1023,1100,1582,3704,933,2292,0,1816,1834,2289,2116,1984,3045,3127,2750,3132,3106
Danimarka / Kopenhag,1901,434,1249,1222,789,1237,2765,922,560,1816,0,779,1352,1389,1729,1050,1992,2957,1137,2168
Çekya / Prag,1303,346,1272,1029,878,812,1989,902,1381,1834,779,0,528,709,1182,1660,1448,2703,1747,1345
Macaristan / Budapeşte,1221,870,1725,1485,1397,1095,1471,1356,1907,2289,1352,528,0,461,1249,1877,1084,3081,1948,824
Slovenya / Ljubljana,759,995,1551,1249,1235,769,1621,1194,1943,2116,1389,709,461,0,787,2046,1554,2620,2133,1157
Monako / Monako,685,1332,1418,954,1374,538,2402,1198,2218,1984,1729,1182,1249,787,0,2712,2322,1839,2799,1940
Estonya / Tallinn,2790,1415,2480,2432,2038,2348,3339,2150,942,3045,1050,1660,1877,2046,2712,0,1868,4166,88,2352
Moldova / Kişinev,2313,1515,2562,2450,2161,2171,1593,2211,2547,3127,1992,1448,1084,1554,2322,1868,0,4150,1954,434
Portekiz / Lizbon,2517,2786,2187,1738,2236,2013,4233,2040,3435,2750,2957,2703,3081,2620,1839,4166,4150,0,4254,3772
Finlandiya /Helsinki,2877,1503,2565,2519,2125,2435,3426,2237,1030,3132,1137,1747,1948,2133,2799,88,1954,4254,0,2764
Romanya / Bükreş,1911,1685,2540,2302,2214,1911,1152,2173,2723,3106,2168,1345,824,1157,1940,2352,434,3772,2764,0
